Index,Quantity,Digi-Key Part Number,Description,Customer Reference,Manufacturer Part Number,Manufacturer Name,Unit Price,Extended Price,Datasheet
67,8,74HCT245DCT-ND,IC TXRX NON-INVERT 5.5V 20SOIC,,74HCT245D,Toshiba Semiconductor and Storage,0.54,$4.32,https://toshiba.semicon-storage.com/info/docget.jsp?did=37301&prodName=74HCT245D
68,2,1727-2847-1-ND,IC LATCH TRANSP OCT D 3ST 20SOIC,,"74HCT373D,653",Nexperia USA Inc.,0.6,$1.20,https://assets.nexperia.com/documents/data-sheet/74HC_HCT373.pdf
69,1,296-31832-1-ND,IC INVERTER 6CH 6-INP 14SOIC,,SN74HCT04DRG4,Texas Instruments,0.41,$0.41,https://www.ti.com/lit/ds/scls042d/scls042d.pdf
70,2,296-1211-1-ND,IC FF D-TYPE DUAL 1BIT 14SOIC,,SN74HCT74DR,Texas Instruments,0.47,$0.94,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74hct74
71,1,296-31835-1-ND,IC MULTIPLEXER 4 X 2:1 16SOIC,,SN74HCT157DR,Texas Instruments,0.53,$0.53,https://www.ti.com/lit/ds/scls071d/scls071d.pdf
72,1,296-29733-1-ND,IC GATE NAND OPEN 4CH 2IN 14SOIC,,SN74LS38DR,Texas Instruments,0.95,$0.95,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74ls38
73,1,497-LF347DTCT-ND,IC OPAMP JFET 4 CIRCUIT 14SO,,LF347DT,STMicroelectronics,0.61,$0.61,https://www.st.com/content/ccc/resource/technical/document/datasheet/c7/4b/9c/8a/ff/08/43/1d/CD00000452.pdf/files/CD00000452.pdf/jcr:content/translations/en.CD00000452.pdf
74,4,296-14862-1-ND,IC GATE AND 4CH 2-INP 14SOIC,,SN74HCT08DR,Texas Instruments,0.53,$2.12,https://www.ti.com/lit/ds/scls063d/scls063d.pdf
75,1,296-1276-1-ND,IC DRIVER 4/0 14SOIC,,SN75188DR,Texas Instruments,0.66,$0.66,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fmc1488
76,1,296-14957-1-ND,IC RECEIVER 0/4 14SOIC,,SN75189DR,Texas Instruments,0.66,$0.66,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fmc1489a
77,2,296-CY74FCT821ATSOC-ND,IC FF D-TYPE SNGL 10BIT 20SOIC,,CY74FCT821ATSOC,Texas Instruments,0.95,$1.90,https://rocelec.widen.net/view/pdf/xywvfnphvh/sccs033b.pdf?t.download=true&u=5oefqw
78,1,1727-2835-1-ND,IC DECODER/DEMUX 1 X 3:8 16SO,,"74HCT138D,653",Nexperia USA Inc.,0.5,$0.50,https://assets.nexperia.com/documents/data-sheet/74HC_HCT138.pdf
79,1,296-29445-1-ND,IC PRIORITY ENCOD 1 X 8:3 16SOIC,,SN74LS148DR,Texas Instruments,1.66,$1.66,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74ls148
80,1,296-6604-1-ND,IC QUAD DIFF COMPARATOR 14 -SOIC,,LM339ADR,Texas Instruments,0.53,$0.53,https://rocelec.widen.net/view/pdf/cozqvyieqk/MOTOS09494-1.pdf?t.download=true&u=5oefqw
81,1,1727-2836-1-ND,IC INVERT SCHMITT 6CH 6-INP 14SO,,"74HCT14D,653",Nexperia USA Inc.,0.48,$0.48,https://assets.nexperia.com/documents/data-sheet/74HC_HCT14.pdf
82,1,DS1813R-5+CT-ND,IC SUPERVISOR 1 CHANNEL SOT23-3,,DS1813R-5+T&R,Maxim Integrated,2.76,$2.76,https://datasheets.maximintegrated.com/en/ds/DS1813.pdf
83,1,339-C1206C271K5GAC7800CT-ND,CAP CER 270PF 50V C0G/NP0 1206,,C1206C271K5GAC7800,KEMET,0.41,$0.41,https://api.kemet.com/component-edge/download/datasheet/C1206C271K5GACTU.pdf
84,1,S2011EC-17-ND,CONN HEADER VERT 34POS 2.54MM,Floppy Header,PRPC017DAAN-RC,Sullins Connector Solutions,0.76,$0.76,https://drawings-pdf.s3.amazonaws.com/11636.pdf
85,10,2092-JSX-1055-5.9-ND,JACK SCREW 4-40 WITH 5.5MM THREA,"D-Sub Jack Screws, As Needed",JSX-1055-5.9,"Kycon, Inc.",0.286,$2.86,http://www.kycon.com/Pub_Eng_Draw/JSX-1055-5.9.pdf
86,1,36-1066-ND,BATT HLDR COIN 20MM 1 CEL PC PIN,,1066,Keystone Electronics,1.42,$1.42,https://www.keyelco.com/userAssets/file/M65p5.pdf
87,4,296-4722-1-ND,IC BUF NON-INVERT 5.5V 20SOIC,,SN74AHCT244DWR,Texas Instruments,0.67,$2.68,https://www.ti.com/lit/ds/scls228m/scls228m.pdf
